Product Name,Product Description,Category,Energy,Saturated fat,Carbohydrate,Sugar,Salt
Lindt Lindor Milk Chocolate Truffles Box 37g,Milk chocolate with a smooth melting filling,chocolate,2587,34,44,42,0.17
Twix Salted Caramel Chocolate Biscuit Multipack 9x23g,"Milk chocolate (35%) covered caramel (32%) and biscuit (26%), with an extra pinch of salt.",chocolate,491,14,65,49,0.83
Aero Bubbles Peppermint Mint Chocolate Sharing Bag 92g,"An aerated peppermint flavoured centre with a half milk chocolate, half peppermint flavoured shell.",chocolate,534,17.7,62.4,62,0.22
Lindt Lindor White Chocolate Truffles Box 200g,White chocolate with a smooth melting filling,chocolate,2643,37,45,44,0.2
Maltesers Truffles Chocolate Gift Box 200g,"Milk chocolate with a malt filling (19%), chocolate filling (19%) and honeycombed pieces (3.4%).",chocolate,565,20,53,48,0.4
Cadbury Plant Vegan Chocolate Bar 90g,Couverture chocolate with almond paste (11%) and salted caramel flakes (8%).,chocolate,544,15,58,48,0.41
M&M's Salted Caramel Chocolate Pouch Bag 102g,"Milk chocolate with a salted caramel center (21%), in a sugar shell.",chocolate,474,11,71,65,0.58
Deliciously Ella Chocolate Orange Dipped Almonds 30g,Whole roasted almonds covered in vegan chocolate with orange oil,chocolate,2457,14.7,28.6,17.7,0.15
Cadbury Bitsa Wispa Chocolate Bag 110g,Textured milk chocolates.,chocolate,550,21,52.5,52.5,0.23
Maltesers Buttons Chocolate Pouch Bag 102g,Milk chocolate with honeycombed pieces (7.0%).,chocolate,518,16,60,57,0.35
Aero Melts Milk Chocolate Sharing Bag 92g,Smooth bubbly milk chocolate pieces.,chocolate,532,17.8,57.3,56.8,0.22
Ferrero Rocher Chocolate 200g,Whole hazelnut in milk chocolate and nut croquante,chocolate,2506,14.1,44.4,39.9,0.153
Mallow & Marsh Raspberry Marshmallows Coated in 70% Dark Chocolate 100g,Raspberry Flavoured Marshmallows Coated in 70 Dark Chocolate,chocolate,1655,9.2,57,48.5,0.15
Poppets Chocolates Toffee,Milk chocolate (37%) with toffee centres.,chocolate,476,12.4,66.4,55.5,0.3
"Thorntons Milk, Dark, White Classic Collection Chocolate Box 449g","An Assortment of Milk, Dark and White Chocolates",chocolate,523,20,55,20,0.22
Lindt Lindor Assorted Chocolate Truffles Box 337g,"Milk, milk with hazelnut pieces, white and extra dark chocolate truffles with a smooth melting filling",chocolate,2619,35,41,39,0.14
"Lindt Lindor Mint Chocolate, Limited Edition 200g",Milk chocolate truffles with a smooth melting mint filling,chocolate,2584,35,44,43,0.23
Quality Street Matchmakers Zingy Orange Chocolate Box 120g,"Orange flavoured chocolates with skimmed milk chocolate, dark chocolate and boiled sugar pieces.
Skimmed milk chocolate and plain chocolate contain vegetable fat in addition to cocoa butter.",chocolate,486,12.5,68.3,62,0.14
Cadbury Giant Chocolate Buttons Bag 40g,Milk chocolates.,chocolate,2234,18,57,56,0.24
NOMO Vegan Hazelnot Filled Chocolate Bar 38g,Non-dairy alternative to milk chocolate with a smooth cocoa and nut free hazelnut flavour centre (30%).,chocolate,500,15,63,40,0.21
Maltesers Buttons Chocolate More to Share Pouch Bag 189g,Milk chocolate with honeycombed pieces (7.0%).,chocolate,518,16,60,57,0.35
M&M's Brownie Chocolate Pouch Bag 102g,"Milk chocolate (51%) with a chocolate confectionery centre (21%), in a sugar shell.",chocolate,466,11,73,66,0.44
Smarties Milk Chocolate Sweets Tube 38g,Milk chocolate (65%) in a crisp sugar shell.,chocolate,470,11.4,68,62.8,0.12
Aero Melts Caramel Milk Chocolate Sharing Bag 86g,Caramel flavoured smooth bubbly milk chocolate pieces.,chocolate,531,17.8,57.2,56.6,0.22
FULFIL Chocolate Salted Caramel Vitamin & Protein Bar Snack 40g,"Vitamin & protein bar with milk chocolate coating & salted caramel flavour, with sugar and sweeteners.",chocolate,371,9,28,3,0
Black Magic Classic Chocolate Favourites Box 174g,Assorted dark chocolates.,chocolate,465,11.1,64.7,58.9,0.04
Lindt Lindor Strawberries & Cream Chocolate Truffles Box 200g,White chocolate and strawberry truffles with a smooth melting cream filling,chocolate,2618,35,44,44,0.2
Smarties Milk Chocolate Sharing Bag 105g,Milk chocolate (65%) in a crisp sugar shell.,chocolate,470,11.4,68,62.8,0.12
Rhythm108 Gluten Free Super Coconut Swiss Dark Chocolate 33g,"Delicious Swiss, vegan, organic and gluten-free chocolate",chocolate,2356,31,35,28,0.05
Smarties Buttons Milk Chocolate Sharing Bag 90g,Milk chocolate pieces with mini Smarties? inclusions (19%) (milk chocolate in a crisp sugar shell).,chocolate,518,16.2,61,60.1,0.21
Perkier ?? Super Bars Salted Caramel Dark Chocolate 37g,Salted Caramel Flavour Peanut Bar with Chocolate and Vitamins,chocolate,1796,6.5,30,22,0.6
Toblerone Large White Chocolate Bar 360g,Swiss white chocolate with honey and almond nougat (10%).,chocolate,537,18,62,62,0
Border Dark Chocolate Orange Bars 6x24g,,chocolate,510,13.2,55.8,32.6,0.2
Mars Chocolate Bar 51g,Milk chocolate with soft nougat (32%) and caramel centre (27%).,chocolate,448,8.1,69.3,59.9,0.42
Deliciously Ella Double Chocolate Caramel Cups 36g,"Two chocolatey oat cups layered with vegan caramel, chocolate ganache and a crisp dark chocolate top",chocolate,450,15.3,50.2,30.2,0.4
Kellogg's Fruit Winders Doubles Apple & Strawberry Rolls 5x17g,A delicious apple and strawberry fruit snack roll made with all natural colours and flavours,chocolate,393,3.5,79,37,0.13
Kellogg's Crunchy Nut Not So Nutty! Granola 600g,Crunchy Oat Clusters.,chocolate,481,11,60,19,0.85
Kellogg's Fruit Winders Strawberry Snack 5x17g,Strawberry & Pear Fruit Snack Roll,chocolate,393,3.5,79,37,0.13
Kellogg's Rice Krispies Squares Delightfully Chocolatey Snack Bars 4x36g,Crispy grains of toasted rice cereal and milk chocolate chunks with a chocolate flavour coating.,chocolate,432,10,74,35,0.63
Deliciously Ella Creamy Vegan Chocolate 85g,"Delicious smooth vegan chocolate, simply plain and perfectly creamy",chocolate,685,25.5,42.5,33.7,0.2
Rhythm108 Swiss Vegan Roasted Almond Butter Bar with Milk Chocolate 100g,Organic chocolate bar filled with almond cream (31% minimum cocoa solids).,chocolate,2244,16,46,37,0.1
Lindt Lindor Double Chocolate Truffles 200g,Milk chocolate truffles with a smooth melting filling with dark chocolate,chocolate,2626,37,38,36,0.19
Cadbury Darkmilk Pralines Chocolate Box 236g,An assortment of filled chocolates,chocolate,557,20,47,45,0.26
Mars Protein Chocolate Bar 50g,A high protein bar with a caramel layer and coated in milk chocolate.,chocolate,1580,6.6,52,35.7,0.71
Maltesers Chocolate Bag 37g,Milk chocolate (73%) with a honeycombed centre (23%).,chocolate,503,15,62,52,0.45
KitKat Chunky Peanut Butter Milk Chocolate Bar 42g,Crispy wafer finger with a creamed peanut topping (19%) covered with milk chocolate (60%),chocolate,538,16.1,52.8,45.3,0.65
Lindt Swiss Luxury Selection Chocolate Box 195g,Assorted Swiss chocolates,chocolate,2430,22,52,48,0.15
Rhythm108 Double Chocolate Biscuit Share Bag 135g,"Delicious Swiss vegan, organic and gluten-free biscuits",chocolate,2118,17,49,26,1.1
Mallow & Marsh Vanilla Marshmallows Coated in Milk Chocolate 100g,Vanilla Flavoured Marshmallows Coated in Milk Chocolate,chocolate,1666,7.3,67.7,58.8,0.16
Bounty Coconut Milk Chocolate Duo Bar 57g,Moist tender coconut covered in thick milk chocolate,chocolate,488,21.4,58.3,47.8,0.26
Aero Peppermint Milk Chocolate Bar 36g,Smooth milk chocolate filled with peppermint flavoured bubbles,chocolate,531,17.1,61.6,60.8,0.25
Smarties Buttons White Milk Chocolate Sharing Bag 85g,White chocolate pieces with mini Smarties? inclusions (19%) (milk chocolate in a crisp sugar shell).,chocolate,522,16.5,60.3,59.8,0.35
Lily O'Brien's Creamy Caramel & Sea Salt Chocolate Share Bag,Creamy Caramel & Sea Salt,chocolate,525,17.5,65,50,0.25
Cadbury Dairy Milk Chocolate 45g,Milk chocolate.,chocolate,534,18,57,56,0.24
My Sweet Chickpea Cappuccino & Dark Chocolate Roasted Chickpeas 100g,Dark Chocolate (59%) Covered Chickpeas (21%) in A Sugar Shell with Cappuccino Flavour,chocolate,440,8.5,66.5,60.7,0.11
Lindt Lindor Mint Milk Chocolate Bar 38g,Milk chocolate with a smooth melting mint filling (40%),chocolate,2539,34,45,44,0.13
KitKat 4 Finger Milk Chocolate Bar 41.5g,Four crispy wafer fingers covered with milk chocolate (66%).,chocolate,502,13.5,62.3,49.4,0.22
FULFIL Chocolate Peanut & Caramel Vitamin & Protein Bar Snack 40g,"High protein bar with milk chocolate coating, peanut and caramel flavour and added vitamins, with sweeteners.",chocolate,1469,7,29,3,0
Lindt Creation Dessert Ballotin Assorted Chocolate Box 200g,"21 Assorted Fine Milk, Dark and White Chocolates",chocolate,2354,20,54,50,0
Dairy Box Milk Chocolate Box 162g,Assorted milk chocolates.,chocolate,541,17,56.4,54.8,0.19
Twix Xtra Chocolate Biscuit Twin Bars 75g,Milk chocolate (35%) covered caramel (32%) and biscuit (26%),chocolate,495,13.9,64.6,48.8,0.44
Buttermilk Salted Caramel Chocolate Cups 100g,"Choccy (60%), Sea Salt Caramel (40%)",chocolate,462,17.9,50.7,35.6,0.26
Ferrero Collection Box of Chocolate 24 Pieces 269g,"Fine Assorted Confections Ferrero Rocher - Whole Hazelnut in Milk Chocolate and Nut Croquante
Confetteria Raffaello - Crisp Coconut Speciality with Smooth Coconut Filling and a Whole Almond
Ferrero Rondnoir - Fine Chocolate Covered Speciality with a Dark Chocolate Centre in Smooth Filling",chocolate,2506,14.1,44.4,39.9,0.153
Perkier ?? Super Bars Nutty Toffee Dark Chocolate 37g,"Toffee Flavour Peanut and Nut Bar with Caramel, Chocolate and Vitamins.",chocolate,1805,6.8,31,22,0.19
Cadbury Dairy Milk Freddo Chocolate Bar 18g,Milk chocolate,chocolate,2210,18.5,56.5,56,0.23
Cadbury Wispa Gold Chocolate Bar 47g,Textured milk chocolate bar with soft caramel centre (32 %).,chocolate,2123,16,59,49,0.33
Smarties Buttons Orange Milk Chocolate Sharing Pouch 85g,Milk chocolate pieces with orange mini Smarties? inclusions (19%) (cocoa compound in a crisp orange flavoured sugar shell).,chocolate,518,16.2,61,59.8,0.21
Lindt Nuxor with Dark Chocolate 165g,Gianduja hazelnut dark chocolate with whole hazelnuts,chocolate,600,13,35,30,0.05
Maltesers Truffles Chocolate Small Gift Box 54g,"Milk chocolate with a malt filling (19%), chocolate filling (19%) and honeycombed pieces (3.4%).",chocolate,565,20,53,48,0.4
Doisy & Dam Dark Chocolate Drops 80g,Dark Chocolate (70%) Coated in a Candy Shell (30%).,chocolate,2113,16,62,58,0.01
Kit Kat Bites Milk Chocolate Sharing Bag 90g,Milk chocolate shell (62%) with a chocolatey filling including wheat based crispy pieces (7%).,chocolate,529,15.9,59.6,53,0.25
Munchies Salted Caramel Fudge Milk Chocolate Sharing Pouch 97g,Milk chocolates with soft salted caramel fudge flavour filling (30%) and a crisp biscuit centre (5%).,chocolate,533,15.6,59.4,56,0.35
Lindt Nuxor with Milk Chocolate 165g,Gianduja hazelnut milk chocolate with whole hazelnuts,chocolate,610,12,40,35,0.1
Snickers Chocolate Bar 48g,Milk chocolate (35%) with soft nougat (14%) and caramel centre (27%) with fresh roasted peanuts (24%).,chocolate,510,9.6,54,45,0.45
Yorkie Original Milk Chocolate Bar 46g,Chunky milk chocolate,chocolate,540,17.3,59.8,58.7,0.2
Cadbury Caramilk Golden Caramel Chocolate Bar 37g,White chocolate with caramelised milk powder (5%).,chocolate,2273,18,63,63,0.29
Snickers Chocolate Duo Bar 83.4g,Snickers is jam-packed with: Milk chocolate (35%) with soft nougat (14%) and caramel centre (27%) with fresh roasted peanuts (24%),chocolate,511,9.7,54.5,45.2,0.44
Milkybar Cookies & Cream White Chocolate Bites Pouch Sharing Bag 90g,Creamy tasting white chocolate bites with filling containing a crunchy cookie piece (10%).,chocolate,532,16,57.3,52.3,0.4
Mighty Fine Dark Chocolate Honeycomb Dips 90g,Dark chocolate with a honeycomb centre,chocolate,423,5.4,84,62.5,0.45
KitKat Chunky Milk Chocolate Bar 40g,Crispy wafer finger covered with thick milk chocolate (68%).,chocolate,506,13.8,61.7,50.1,0.22
Monty Bojangles Milk Chocolate Belgian Flaked Truffles 100g,Belgian Milk Chocolate Coated Truffles With Milk Chocolate Flakes (35%).,chocolate,584,33,51,50,0.11
Lindt Master Chocolatier Collection Chocolate Box 320g,"31 assorted fine milk, dark and white chocolates.",chocolate,2262,18,53,51,0.15
FULFIL Chocolate Brownie Vitamin & Protein Bar Snack 40g,"Vitamin & Protein Bar with Chocolate Chips and a Milk Chocolate Coating, with Sweeteners.",chocolate,355,7.8,30,2.7,0.51
Galaxy Smooth Milk Chocolate Bar 42g,Milk chocolate.,chocolate,545,20,56,55,0.3
Galaxy Ripple Chocolate Bar 33g,Milk chocolate with a rippled centre.,chocolate,528,17,59,58,0.32
Yorkie Raisin & Biscuit Milk Chocolate Bar 46g,Chunky milk chocolate with raisins (13%) and biscuits (4%),chocolate,508,14.3,61.9,58.3,0.23
Twix Chocolate Biscuit Bar 50g,Milk chocolate (35%) covered caramel (32%) and biscuit (26%),chocolate,495,13.9,64.6,48.8,0.44
Yorkie Duo Chocolate Bar 72g,"Two, 3 chunk bars of solid, smooth milk chocolate",chocolate,539,17.3,59.5,58.2,0.2
Milkybar White Chocolate Bar 25g,White Chocolate.,chocolate,543,19.1,53.1,52.6,0.34
Snickers Creamy Peanut Nut Butter Chocolate Duo Bar 36.5g,Milk Chocolate (35%) with peanut butter filling (32%) and caramel centre (24%) with fresh roasted peanuts (8.1%).,chocolate,519,9.1,51,48,0.57
Yorkie Raisin & Biscuit Chocolate Duo Bar 66g,Chunky milk chocolate with raisins (13%) and biscuits (4%),chocolate,507,14.2,61.7,58,0.22
Cadbury Wispa Duo Chocolate Bar 47g,Textured milk chocolate bar.,chocolate,2271,19,56,55,0.24
Happy Birthday Belgian Milk Chocolate 170g,Belgian milk chocolate,chocolate,562,20.5,60.3,56.2,0.1
Sainsbury's Filled Chocolate Batons 130g,"White, dark and milk chocolate and white chocolate with caramelised sugar with hazelnut praline, caramel and vanilla flavoured centres.",chocolate,520,19.4,49.1,34.8,0.19
Milky Way Chocolate Duo Bar 43g,Milk chocolate with a light whipped white centre (61%).,chocolate,450,7.9,70.7,61.8,0.37
Aero Bliss Mint Chocolate Sharing Box 176g,Smooth milk chocolate filled with a mint flavoured aerated whipped centre (40%) and biscuit pieces (1.7%).,chocolate,546,16.7,56.4,54.8,0.21
Kinder Medium Chocolate Multipack Bars 2x21g,Fine Milk Chocolate with a Milky Filling,chocolate,2360,22.6,53.5,53.3,0.313
Doisy & Dam Dark Chocolate Ballers 75g,Dark Chocolate (75%) Coated Cereal Balls (23.6%).,chocolate,2131,16.2,56.3,32.7,0.17
Kellogg's Rice Krispies Limited Edition Squares Chocolatey Orange Flavour Bars 4x36g,"Orange flavour, rice cereal bar with milk chocolate chunks and a chocolate flavour coating.",chocolate,454,8.6,74,37,0.56
Kellogg's Fruit Winders Doubles Apple & Strawberry Rolls 5x17g,A delicious apple and strawberry fruit snack roll made with all natural colours and flavours,chocolate,393,3.5,79,37,0.13
Kellogg's Crunchy Nut Not So Nutty! Granola 600g,Crunchy Oat Clusters.,chocolate,481,11,60,19,0.85
Kellogg's Rice Krispies Squares Marshmallow Snack Bars 4x28g,Crispy grains of toasted rice cereal covered in chewy melted marshmallow.,chocolate,424,7,76,32,0.75
After Eight Dinner Chocolate Mints Bitesize 60g,Dark chocolates with peppermint flavoured fondant cream centre,chocolate,461,10.5,68.2,61,0.03
FULFIL Chocolate Hazelnut Whip Vitamin & Protein Bar Snack 40g,"High protein bar with milk chocolate coating, with hazelnuts and added vitamins, with sugars and sweeteners.",chocolate,1626,9,27,3,0
Milk Chocolate Eggs with a L.O.L. Surprise Inside 3 x 20g (60g),"Milk Chocolate Egg with a surprise (cocoa 34% min., milk solids 14%).",chocolate,2280,20.2,57.1,56.2,0.2
Pico Organic Vegan M*lk Chocolate Truffles 96g,Couverture filled with cocoa cream,chocolate,2588,33.6,37.7,31,0
Terry's Chocolate Orange Truffles 200g,Milk chocolate flavoured with real orange oil with a creamy filling (35%) and crisped rice (4%).,chocolate,532,19,59,54,0.19
Belgian Chocolate & Salted Caramel Coated Almonds 170g,"Almonds coated in milk, dark or white chocolate or a salted caramel coating",chocolate,568,16.1,45.1,41.8,0.23
Pico Organic Vegan Original M*lk Chocolate 80g,Organic chocolate couverture with hazelnut paste.,chocolate,2290,22,39,38,0.01
Kit Kat Chunky Salted Caramel Popcorn Milk Chocolate Bar 42g,"Crispy wafer finger with salted caramel and popcorn flavoured filling, with salted and roasted corn (2%), covered in milk chocolate (59%).",chocolate,525,16.2,55.5,45.88,0.41
Twix Xtra White Chocolate Biscuit Twin Bars 75g,White chocolate (35%) covered caramel (32%) and biscuit (26%).,chocolate,502,15,64,48,0.41
Maltesers Teasers Chocolate Bar 35g,Milk chocolate with honeycombed pieces (11%).,chocolate,533,18,58,54,0.31
Pico Organic Vegan Salted Caramel M*lk Chocolate Truffles 96g,Couverture filled with cocoa cream,chocolate,2577,32.9,37.9,31.5,0.16
Sainsbury's Belgian Milk Chocolate Batons 130g,Belgian milk chocolate,chocolate,584,24,48.7,48.6,0.19
Mars Chocolate Duo Bar 78.8g,Milk chocolate with soft nougat (32%) and caramel centre (27%),chocolate,450,8.2,69.3,59.9,0.39
Doisy & Dam Buttons Dark Chocolate 80g,Dark Chocolate Buttons.,chocolate,2322,22,53,41,0
Green & Black's Organic 70% Dark Chocolate Bar 35g,Organic chocolate with 70 % cocoa solids.,chocolate,580,25,36,29,0.01
Galaxy Fusions Dark Chocolate 70% Cocoa Bar 35g,Dark chocolate.,chocolate,564,26,31,27,0.02
Sainsbury's Mint Humbugs 200g,Mint flavoured boiled sweets with a toffee centre,chocolate,408,1.4,95.3,57.6,0.19
Sainsbury's Butter Mintoes 200g,Butter and mint flavour sweets,chocolate,449,6.4,91.1,53.4,0.96
Sainsbury's Mint Imperials 200g,Mint flavoured sweets,chocolate,404,0.1,99.5,99.5,0.03
Trebor Extra Strong Peppermint Mints 4x41.3g,Mint flavoured sweets.,chocolate,395,0,98,94,0.01
Polo Sugar Free Mints Roll Multipack 4x33.4g,Pressed Sugar Free Mints (with Sweetener),chocolate,235,0,98.4,0.3,0.01
Polo Original Mints Roll Multipack 4x34g,Pressed mints,chocolate,402,1,98.1,95.6,0.01
Extra Peppermint Chewing Gum Sugar Free Bottle 60pcs,Sugarfree Chewing Gum with Sweeteners and Mint Flavour.,chocolate,621,0,62,0,0
Maynards Bassetts Liquorice Allsorts Sweets Carton 400g,Liquorice allsorts.,chocolate,360,3.8,77,62,0.09
Extra Spearmint Chewing Gum Sugar Free 60 Pieces 84g,Sugarfree Chewing Gum with Sweeteners and Mint Flavour.,chocolate,623,0,62,0,0
Extra Peppermint Chewing Gum Sugar Free Multipack 6x10 Pieces,Sugarfree Chewing Gum with Sweeteners and Mint Flavour.,chocolate,621,0,62,0,0
Sainsbury's Mint Assortment 200g,"An assortment of mint flavoured boiled sweets: best English mint, mint toffee, mint humbug, clear mint, butter mintoe",chocolate,418,3.1,90.6,55.4,0.4
Maynards Bassetts Sweets Jelly Babies Carton 400g,Fruit flavoured jelly babies.,chocolate,330,0.1,78,74,0.02
Tic Tac Mint 4x16g,Mint Drops,chocolate,1685,0.5,97.5,94.5,0.028
Bendicks Bittermints 200g,Bitter Chocolates with a Firm Peppermint Fondant Centre (68%),chocolate,426,10,62.8,54.1,0.01
Walkers Mint Toffees Bag 150g,Mint Toffees,chocolate,465,11,75.1,49.9,0.6
Cadbury Darkmilk Giant Buttons Bag 105g,High cocoa milk chocolates.,chocolate,536,20,51,49,0.11
Extra Spearmint Chewing Gum Sugar Free Multipack 6x10 Pieces,Sugarfree Chewing Gum with Sweeteners and Mint Flavour.,chocolate,623,0,62,0,0
Trebor Softmints Spearmint Mints 4x44.9g,Mint flavoured chewy centred sweets in a crisp candy coating.,chocolate,374,0,93,73,0.01
Nutella & Go! Hazelnut Spread & Breadsticks 48g,Hazelnut Spread with Cocoa and Breadsticks,chocolate,2117,9,62,42,0.656
Maynards Bassetts Wine Gums Sweets Carton 400g,Fruit flavour gums.,chocolate,318,0.2,73,54,0.06
Extra White Bubblemint Chewing Gum Sugar Free Bottle 46 Pieces,Sugarfree Chewing Gum with Sweeteners and Menthol and Mint Flavours.,chocolate,608,0,61,0,0.06
Extra Cool Breeze Chewing Gum Sugar Free Multipack 6x10 Pieces,Sugarfree Chewing Gum with Sweeteners and Mint Flavour.,chocolate,652,0,65,0,0
Polo Spearmint Mints 4x34g,Pressed Spearmints.,chocolate,402,1,98.2,95.7,0.01
Airwaves Menthol & Eucalyptus Chewing Gum Sugar Free Multipack 6x10 Pieces,Sugarfree Chewing Gum with Sweeteners and Menthol and Eucalyptus Flavours.,chocolate,591,0,59,0,0
NOMO Deliciously Creamy Choc Bar 85g,Choc bar.,chocolate,559,20,55,35,0.14
Extra Peppermint Chewing Gum Sugar Free Large Bottle 90 Pieces,Sugarfree Chewing Gum with Sweeteners and Mint Flavour.,chocolate,618,0,62,0,0
Maltesers Biscuits 110g,Biscuits containing crisp honeycomb pieces coated in milk chocolate,chocolate,2133,13.3,61.9,34.4,0.69
Extra White Bubblemint Chewing Gum Sugar Free Multipack 6x10 Pieces,Sugarfree Chewing Gum with Sweeteners and Fruit and Mint Flavours.,chocolate,608,0,61,0,0.06
Reese's Peanut Butter Cups x2 42g,Peanut Butter Cr¨¨me in a Chocolate Flavour Coating,chocolate,2112,10.7,56.2,51.8,0.81
Skittles Fruits Sweets Pouch Bag 152g,Chewy Candies in a Crisp Sugar Shell with Fruit Flavours.,chocolate,397,2.3,89,74,0.02
Mentos Pure Fresh Freshmint Sugar Free Chewing Gum x50 100g,"Chewing gum with sweeteners, mint flavour.",chocolate,746,0.2,72,0,0.03
Toffifee x12 100g,A Hazelnut (10%) in a Caramel Cup (41%) with Hazelnut Chocolate Filling (37%) topped with Chocolate (12%),chocolate,522,12.7,59,48.9,0.26
Caramac Caramel Bar 30g,The Caramel Flavour Bar,chocolate,559,20.2,57.9,57.8,0.31
XXX Extra Strong Peppermints Multipack 5x40.5g,Peppermint Flavoured Mints.,chocolate,401,0.1,98,95,0
Reese's Mini Peanut Butter Cup Pouch 90g,Peanut Butter Cr¨¨me in a Milk Chocolate Flavour Coating,chocolate,2137,13.6,58.6,54,0.63
Thorntons Continental Collection 264g,"An Assortment of Milk, Dark and White Chocolates",chocolate,551,20.9,50.9,48.6,0.19
Sainsburys Salted Caramel Fudge 125g,Butter fudge with sea salt,chocolate,459,11.2,75.5,69.9,0.7
Cadbury Dairy Milk Oreo Bites Bag 110g,Milk chocolate with a vanilla flavour filling (45 %) and biscuit pieces (14 %).,chocolate,562,19,56,50,0.39
Tic Tac Fruit Adventure 49g,Fruit Flavour Drops,chocolate,1663,0.5,94.3,91.1,0.018
Trebor Softmints Peppermint Mints 7x44.9g,Mint flavoured chewy centred sweets in a crisp candy coating.,chocolate,374,0,93,73,0.01
Rowntree's Randoms Squidgy Swirls Sweets Sharing Bag 130g,Assorted fruit and yogurt flavour jellies,chocolate,327,0.1,76.3,56.9,0.03
Bendicks Mint Collection 200g,An Assortment of Dark Mint Chocolates,chocolate,455,12.2,64.2,57.8,0.02
Kellogg's Rice Krispies Squares Marshmallow Snack Bars 4x28g,Crispy grains of toasted rice cereal covered in chewy melted marshmallow.,chocolate,424,7,76,32,0.75
Lindt Lindor Treat Bar 38g,Milk chocolate with a smooth melting filling (41%),chocolate,2520,33,46,45,0.14
Rowntree's Dessert Pastilles Vegan Sweets Sharing Pouch 139g,Dessert Flavoured Fruit Pastilles,chocolate,358,0.1,89.3,61.8,0.23
Sainsbury's Turkish Delight Rose & Lemon 325g,Rose and lemon flavoured turkish delight,chocolate,344,0.1,85.5,78.6,0.3
Cadbury Starbar 49g,Milk chocolate with caramel (30 %) and peanut (23 %) centre.,chocolate,2127,12,54,44,0.34
Extra White Chewing Gum Sugar Free Bottle 46pcs,Sugarfree Chewing Gum with Sweeteners and Mint Flavour.,chocolate,614,0,61,0,0.06
Free from Fellows Vanilla Vegan Mallows 105g,Vegan Vanilla Flavoured Marshmallows,chocolate,323,0,79,71,0.12
Starburst Original Fruit Chews Sweets Pouch Bag 152g,"Chewy Candy with Apple, Orange, Blackcurrant, Strawberry, Lime and Lemon Flavours and Concentrated Fruit Juices.",chocolate,407,4.1,84,58,0.01
Lindt Nocciolatte 35g,Milk chocolate with hazelnut filling and whole hazelnuts (7%),chocolate,2311,17,51,48,0
Ferrero Rocher Collection 172.2g,"Fine Assorted Confections Ferrero Rocher - Whole Hazelnut in Milk Chocolate and Nut Croquante
Confetteria Raffaello - Crisp Coconut Speciality with Smooth Coconut Filling and a Whole Almond
Ferrero Rondnoir - Fine Chocolate Covered Speciality with a Dark Chocolate Centre in Smooth Filling",chocolate,2506,14.1,44.4,39.9,0.153
Skittles Giants Fruit Sweets Pouch Bag 141g,Chewy Candies in a Crisp Sugar Shell with Fruit Flavours.,chocolate,406,2.4,91,76,0.02
Buttermilk Vegan Caramel Nougat 50g,"Soft Nougat with a Caramel Centre, Enrobed in Plant-Based Choccy",chocolate,432,14,58,44,0.52
Reese's Peanut Butter Nut Bar 47g,"Crunchy Peanuts, Peanut Butter, Creamy Caramel Covered with Chocolate Flavour Coating",chocolate,2093,9.9,54.8,44.7,0.39
Treat Kitchen Jelly Beans Bottle 450g,Fruit Flavoured Jelly Beans,chocolate,373,0.2,91.8,54.7,0.05
Mentos Pure Fresh Spearmint Sugar Free Chewing Gum x50 100g,"Chewing gum with sweeteners, spearmint flavour.",chocolate,750,0.2,73,0,0.04
Cadbury Boost Glucose,Milk chocolate with caramel (26 %) and biscuit (3 %) filling bar.,chocolate,2158,19,59,52,0.27
Sainsbury's Fizzy Bubblegum Bottles 70g,Fruit flavour gums,chocolate,342,0.2,76.5,57.3,0.74
Fox's Glacier Fruits 200g,Fruit Flavour Boiled Sweets,chocolate,1621,0,95.4,71.2,0.39
Extra Ice Peppermint Chewing Gum Sugar Free Multipack 6x10 Pieces,Sugarfree Chewing Gum with Sweeteners and Menthol and Mint Flavours.,chocolate,599,0,60,0,0
Fox's Glacier Mints 200g,Mint Flavoured Boiled Sweets,chocolate,1634,0,96.1,72.3,0.08
Extra Refreshers Tropical Sugar Free Chewing Gum Bottle 30pcs,Sugarfree Chewing Gum with Sweeteners and Fruit Flavours.,chocolate,710,0,69,0,0
Skittles Crazy Sours Sweets Pouch Bag 152g,Chewy Candies in a Crisp Sugar Shell with Sour Fruit Flavours.,chocolate,396,2.3,88,73,0.02
Extra Cool Breeze Chewing Gum Sugar Free Bottle 60pcs,Sugarfree Chewing Gum with Sweeteners and Mint Flavour.,chocolate,652,0,65,0,0
Barratt Wham Mini Chews with Sour Crystals 175g,Raspberry flavour chew bars with sour crystals (4%),chocolate,379,1.8,84.8,48.9,0.18
Tic Tac Fresh Mint 100 48g,Mint Flavour Drops,chocolate,1685,0.5,97.5,94.5,0.028
Cadbury Crunchie 40g,Milk chocolate with golden honeycombed centre (38 %).,chocolate,1955,10,74,65,0.72
Cadbury Twirl 43g,2 Milk chocolate fingers,chocolate,2217,17,58,58,0.25
Milky Way Dairy Free Magic Stars 25g,Dairy free couverture chocolate.,chocolate,538,19,49,41,0.04
Green & Black's Organic Tasting Collection 395g,"A selection of dark, milk and white chocolates.",chocolate,567,22,41,36,0
Mieszko Cherrissimo 104g,Pralines with cherry in alcohol.,chocolate,427,13,56,55,0
Trebor Extra Strong Mints 48g,Mint Flavoured Sweets.,chocolate,1677,0,98,94,0.01
