Product Name,Category,Energy,Saturated fat,Carbohydrate,Sugar,Salt
"Sainsbury's Vegetable Crisps, Taste the Difference 100g",crisps,529,3.1,43.5,25.1,1.1
Kettle Chips Sour Cream & Sweet Onion Sharing Crisps 150g,crisps,2115,3.9,51.6,3.5,1.2
Pringles Prawn Cocktail Flavour Sharing Crisps 200g,crisps,505,3.4,52,3.4,1.6
Tyrrells Cider Vinegar & Salt Sharing Crisps 150g,crisps,2042,2.8,56,1.7,1.8
Pringles Cheese & Onion Sharing Crisps 200g,crisps,516,2.7,56,2.7,1.4
Tyrrells Mixed Root Vegetable Sharing Crisps 125g,crisps,2244,4,40.6,23.6,1.1
Walkers Less Salt A Dash of Salt & Vinegar Multipack Crisps 6x25g,crisps,513,2.4,54,1,0.67
Sensations Balsamic Vinegar & Caramelised Onion Sharing Crisps 150g,crisps,472,1.8,59.2,2.3,1.41
Hula Hoops Puft Salt & Vinegar Crisps 6x15g,crisps,479,2,62,1.7,1.1
Doritos Lightly Salted Sharing Tortilla Chips Crisps 270g,crisps,489,2.8,61.2,1.2,0.72
Walkers Cheese & Onion Crisps 12x25g,crisps,514,2.4,54,2.6,1.2
Sainsbury's Prawn Cocktail Crisps 6x25g,crisps,532,3.3,50.8,2.9,1.18
Tyrrells Sweet Chilli & Red Pepper Sharing Crisps 150g,crisps,2089,3,53.1,4.5,1.1
Tyrrells Cheddar Cheese & Chive Sharing Crisps 150g,crisps,2121,3.5,52.8,3.9,1.3
Jacob's Cracker Crisps Sour Cream & Chive 150g,crisps,470,5,66.4,6.8,1.8
Walkers Meaty Variety Crisps 12x25g,crisps,514,2.4,55,4.5,1.2
Pringles Smokey Bacon Flavour Sharing Crisps 200g,crisps,519,2.7,56,2.8,1.6
Popchips Sour Cream & Onion Sharing Crisps 85g,crisps,413,1.6,61,4.5,1.9
Tyrrells Lentil Sharing Crisps Sour Cream & Onion 80g,crisps,1967,1.7,58,3.4,2
Doritos Hint of Lime Sharing Tortilla Chips Crisps 270g,crisps,499,3.3,58.6,2.1,1.24
