Product Name,Category,Energy,Saturated fat,Carbohydrate,Sugar,Salt
Walkers French Fries Ready Salted Multipack Snacks 6x18g,crisps,434,1.4,65,1.1,2.5
Snack A Jacks Caramel Rice Cakes 159g,crisps,392,0.4,87,28,0.5
Sainsbury's Cool Salsa Dip 300g,crisps,33,0.1,6.3,3.9,0.74
Snack A Jacks Chocolate Chip Rice Cakes 180g,crisps,414,3.5,81,30,0.05
Sainsbury's Salted Pretzels 150g,crisps,393,0.5,76.7,1.8,1.5
Penn State Sour Cream & Chives Sharing Pretzels 175g,crisps,414,0.9,71,6.6,1.1
Walkers Squares Variety Multipack Snacks 6x22g,crisps,443,1.5,61,3.5,2.2
Snack a Jacks Salt & Vinegar Rice Cakes 126g,crisps,406,1,77,1.1,1.48
Sainsbury's Cheese Savouries 250g,crisps,531,12.1,50,2.9,1.73
Sainsbury's Mini Poppadoms 100g,crisps,462,2.7,42.1,1.3,3.89
Sainsbury's Hot Salsa Dip 300g,crisps,33,0.1,6.1,3.7,0.74
Penn State Sea Salted Sharing Pretzels 175g,crisps,393,0.5,76,3.3,2.5
Metcalfe's Sweet & Salt Popcorn Sharing Bag 80g,crisps,481,1.4,53.4,18.1,1.3
Butterkist Popcorn Toffee 6x20g,crisps,427,3.1,80,49,1.3
Doritos Mild Salsa Dip 300g,crisps,150,0.1,6.6,4.7,1.51
Metcalfe's Sea Salt Popcorn Sharing Bag 70g,crisps,480,1.7,47.2,0.2,1.3
Sabra Houmous Extra 350g,crisps,1546,3,13,0.5,1
Sainsbury's Tortilla Chips 200g,crisps,496,2,61.9,1.3,0.8
Sainsbury's Deliciously Free From Garlic & Coriander Naan Breads 2 x 100g,crisps,312,1,50,1.7,0.78
Doritos Hot Salsa Dip 300g,crisps,162,0.1,7.1,5.1,1.27
Hippeas Chickpea Puffs Sweet & Smokin 5pk,crisps,420,1.4,55.5,3.4,0.8
Old El Paso Gluten Free Crunchy Nacho Chips 185g,crisps,500,3,56.4,0.5,0.49
Sainsbury's Mini Poppadums 100g,crisps,462,2.7,42.1,1.3,3.89
Snack a Jacks Cheese Rice Cakes 120g,crisps,383,0.8,79,3.4,1.18
Sainsbury's Sour Cream & Chive Combo Snacks 150g,crisps,479,2.7,66.8,5,1.88
Wonderful Roasted Salted XXL Pistachios 115g,crisps,590,5,17,7,1
Kellogg's Fruit Winders Doubles Apple & Strawberry Rolls 5x17g,crisps,393,3.5,79,37,0.13
Pringles Original Sharing Crisps 200g,crisps,534,2.8,56,1.2,1.1
Pringles Sour Cream & Onion Sharing Crisps 200g,crisps,525,2.8,56,2.5,1.3
Kellogg's Crunchy Nut Not So Nutty! Granola 600g,crisps,481,11,60,19,0.85
Sainsbury's Sour Cream & Chive Dip 280g,crisps,198,2.3,9.2,3.6,0.82
Sainsbury's Salt & Pepper Combo Snack Mix 150g,crisps,478,2.3,66.6,1.4,1.71
Sainsbury's Free From White Tortilla Wrap x4,crisps,211,0.4,31,2.6,0.95
Sabra Houmous with Hot Chili Pepper 200g,crisps,1424,3,11,0.5,1
Doritos Cool Sour Cream & Chives Sharing Dip 280g,crisps,831,3.1,7.5,2.4,0.63
"Butterkist Popcorn, Sweet Cinema Style 6x12g",crisps,507,2,62,31,0.01
Gran Luchito Mexican Tortilla Chips Lightly Salted 170g,crisps,479,2.2,67,2.4,0.75
Sainsbury's Deliciously Free From Lightly Salted Tortilla Chips 200g,crisps,494,2.2,62.6,1.5,0.7
Sainsbury's Deliciously Free From Sweet Potato Tortilla Wraps x4,crisps,182,0.3,26.2,3.7,0.73
Doritos Nacho Cheese Sharing Dip 280g,crisps,853,3.2,8.9,3.1,0.9
Pringles Original 40g,crisps,534,2.8,56,1.2,1.1
Pringles Sour Cream & Onion 40g,crisps,525,2.8,56,2.5,1.3
Forest Feast Slow Roasted Sea Salt & Black Peppercorn Nut Mix 120g,crisps,2092,4.5,20.6,6.5,1.38
Sainsbury's Cheese&onion Chickpea Snacks 6pk 120g,crisps,396,1,62.6,3.8,2
Boostball Chocolate Brownie Keto Snack 4x10g,crisps,614,38,11.3,4.9,0.3
Howdah Onion Bhaji Crunchy Crescents with Zingy Spices 150g,crisps,492,10,62,7.2,1.3
PROPERCHIPS Barbecue Lentil Chips 20g,crisps,469,2.9,63.6,4.5,2.55
Kings Rib Eye Flavour Biltong 65g,crisps,977,2.1,5.6,4.7,4.69
Kings Beef Jerky BBQ 65g,crisps,1232,1.9,24,21.1,3.3
Hippeas Salt & Vinegar Vibes Mulltipack,crisps,419,1.4,55.4,3.6,1
Howdah Tandoor Chilli Ancient Grain Chips 130g,crisps,498,12.3,51.3,2.1,2.18
Reese's Dipped Pretzels 120g,crisps,497,17.7,62.6,33.3,0.93
Forest Feast Slow Roasted Heather Honey Peanuts & Cashews 120g,crisps,2158,3.6,31.5,18.8,0.72
Wild West Honey BBQ Beef Jerky 100g,crisps,1220,1.5,35.8,28.1,3.74
Mega Monster Munch Pickled Onion Snacks 40g,crisps,492,2.1,60,3,1.55
Bare Fruit Snacks Banana Chips 24g,crisps,400,0,90,62,0
Snack a Jacks Rice and Corn Cakes Salt & Vinegar 23g,crisps,408,1.1,73.8,3,1.43
Lorenz Crunchips Paprika 140g,crisps,528,2,48,1,1
Capsicana Tortilla Chips Lightly Salted 170g,crisps,2188,3.1,61.2,2.2,0.75
Walkers Squares Salt & Vinegar Snacks 27.5g,crisps,443,1.5,61,3.5,2.2
Bare Fruit Snacks Coconut Chips 24g,crisps,622,38,50,31,1
Snack a Jacks Rice Cakes Sweet Chilli 23g,crisps,406,0.9,76.9,3.6,0.89
Mega Monster Munch Roast Beef Snacks 40g,crisps,492,2.2,59,3,1.73
"Sainsbury's Ancho Chilli Bean Dip, Taste the Difference 300g",crisps,54,0.1,7.7,3.2,0.6
Hippeas Chickpea Tortilla Snacks Chilli Kicks Flavour 130g,crisps,506,3.2,46.4,3.7,1.2
Hippeas Chickpea Tortilla Snacks Cheesy Nacho Vibes Flavour 130g,crisps,505,3.1,46.3,2.9,1.3
Sunbites Sweet Chilli Multigrain Snacks 28g,crisps,478,2.2,61.7,10.4,0.6
Walkers Baked Salt & Vinegar Snack 37.5g,crisps,432,1.3,68,6.3,0.91
Walkers Squares Cheese & Onion Snacks % 27.5g,crisps,439,1.5,61,3.3,1.38
Well & Truly Crunchies Sea Salt & Cider Vinegar Baked Corn Snacks 30g,crisps,470,1.8,71.5,0.6,1.9
Hippeas Chickpea Tortilla Snacks Rockin' Ranch Flavour 130g,crisps,505,3.1,46.3,4.3,1.4
Metcalfe's Popcorn Sea Salt 17g,crisps,480,1.7,47.2,0.2,1.3
Pringles Texas BBQ Sauce Flavour Sharing Crisps 200g,crisps,520,2.7,57,4.5,1.2
Pringles Sour Cream & Onion Sharing Crisps 200g,crisps,525,2.8,56,2.5,1.3
Pringles Original Sharing Crisps 200g,crisps,534,2.8,56,1.2,1.1
Kellogg's Fruit Winders Doubles Apple & Strawberry Rolls 5x17g,crisps,393,3.5,79,37,0.13
