8,5e-10,0.30000000000000004,0.13333333333333333,0.11588671023965143
9,5e-07,0.1,0.9833333333333333,1.0
8,5e-07,0.4,0.8,0.7955555555555556
5,1e-08,0.2,0.2,0.09696969696969697
10,0.01,0.1,0.16666666666666666,0.08828828828828827
7,0.01,0.30000000000000004,0.13333333333333333,0.008333333333333333
11,5e-07,0.1,0.9833333333333333,0.9674074074074074
7,0.01,0.8,0.25,0.13846153846153844
7,5e-10,0.9,0.16666666666666666,0.14375350140056023
13,0.01,0.7000000000000001,0.25,0.13846153846153844
3,5e-11,0.7000000000000001,0.25,0.22168128654970762
11,0.001,0.8,0.23333333333333334,0.03137254901960784
