Barcode,Nudge ID,Category,Nudge food ID,Source food ID,Brand name,Product Name,Energy,Fat,Saturated fat,Carbohydrate,Sugar,Protein,Salt,Ingredients,May contain
5.05E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,57709,4124852,Pringles,Pringles Salt & Vinegar 190g,2121,31,3.2,53,3.8,4,2.3,"Dehydrated Potatoes, Vegetable Oils (Sunflower, Corn), Rice Flour, Wheat Starch, Salt and Vinegar Seasoning (Lactose (Milk), Flavourings (Barley Malt Vinegar), Flavour Enhancer (Monosodium Glutamate), Acids (Citric Acid, Malic Acid), Yeast Extract), Emulsifier (E471), Maltodextrin, Salt",H0010
5.05E+12,"A0001,B0000,C0035,D0000,E0005,F0000",crisps,58240,2257679,Asda,Asda Chosen By You Cheese & Chilli Flavours Party Snacks 100g,1999,21.4,2.1,65,2.4,4.6,1.9,"Potato Powder, Potato Starch, Sunflower Oil, Dried Potato, Cheese and Chilli Flavour [Rice Flour, Whey Powder (from Milk), Cheese Powder (from Milk), Salt, Onion Powder, Sugar, Chilli Powder, Flavourings (contains Milk), Citric Acid, Cayenne Pepper Extract, Colour (Paprika Extract), Black Pepper Extract], Rice Flour, Modified Potato Starch, Salt, Colours (Paprika Extract, Curcumin), Garlic Powder",H0000
5.06E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,64032,3766692,Tyrrells,Tyrrells Three Bird Roast 40g,2070,26,3.03,55.57,1.1,7.6,1.2,"Potatoes, Sunflower Oil, Maltodextrin, Yeast Extract, Salt, Sugar, Onion Powder, Butter Powder (Cow's Milk), Flavourings, Chicken Broth (Dehydrated), Cooked Duck Powder, Cooked Turkey Meat, Herbs (Thyme, Sage), Garlic Powder, Smoked Salt, Black Pepper, Natural Colour: Paprika Extracts, Herb Extracts (Thyme, Sage)",H0000
5.06E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,64033,3901252,Tyrrells,Tyrrells Lightly Sea Salted 5 X 25g,2089,24.4,2.5,49,2,5.9,0.5,"Potatoes, Sunflower Oil, Sea Salt",H0000
5.06E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,64597,4238812,The Food Doctor,The Food Doctor Hot Wasabi Popped Crisp Thins 23g,1733,12.5,1.2,44.2,3.4,26.7,2.89,"Soy and Corn Chips (Soy Proteins 32%, Corn Flour 24%, Wheat Flour (Gluten), Tapioca Starch, Corn Starch 3%, Sugar, Salt, Baking Soda), Sunflower Oil, Wasabi Seasoning (Dried Glucose Syrup (contains Gluten), Salt, Dextrose (contains Gluten), Flavouring, Acid (Sodium Acetate, Citric Acid), Onion Powder, Colour (Chlorophyll Copper), Spice Extract (Capsicum)), Antioxidant (Rosemary Extract)",H0001
5.06E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,64598,4238815,The Food Doctor,The Food Doctor Mild Korma Popped Crisp Thins 23g,1741,13.5,1.9,41.8,6,27,2.65,"Soy and Corn Chips (Soy Proteins 32%, Corn Flour 24%, Wheat Flour (Gluten), Tapioca Starch, Corn Starch 3%, Sugar, Salt, Baking Soda), Sunflower Oil, Mild Korma Seasoning (Spices (Cumin, Coriander, Cardamom, Fenugreek, Cinnamon, Mustard, Clove, Mace, Allspice, Turmeric, Black Pepper), Whey Powder (Milk), Salt, Coconut Milk Powder (Coconut, Maltodextrin, Sodium Caseinate), Wheat Flour (Gluten), Dextrose, Sugar, Onion Powder, Garlic Powder, Yeast Extract, Flavouring, Spices Extracts (Cumin, Turmeric), Acid (Citric Acid)), Antioxidant (Rosemary Extract)","H0001,H0012,H0010"
5.06E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,66676,5314365,Nature's Store,Natures Store Free From Lightly Salted Corn Chips 150g,1979,20,2,64.4,1.5,6.6,0.9,"Maize Flour, Sunflower Oil, Salt",H0000
5.06E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,67566,4533776,RW Garcia,Rw Garcia Veggie Mix Organic Tortilla Chips 150g,2102,21,3,66,2.5,8.1,0.5,"Stone Ground White Maize* (72%), Sunflower Oil*, Tomato Powder* (2%), Carrot Powder* (1%), Garlic Powder* (1%), Onion Powder* (1%), Spinach Powder* (0.5%), Red Beetroot Powder* (0.5%), Paprika* (0.5%), Parsley Flakes*, Sea Salt, *Certified organically grown",H0000
5.06E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,67567,4533777,RW Garcia,Rw Garcia Blue Corn Organic Tortilla Chips 150g,2014,18.2,2.5,66.9,0.9,9.2,0.5,"Stone Ground Blue Maize* (80%), Sunflower Oil*, Sea Salt, * =Certified Organically Grown",H0000
5.06E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,67865,3346958,Corkers,Corkers Simply Sea Salt Hand Cooked Crisps 20g,1999,26,3,49,0.6,6.2,1,"Potatoes, Sunflower Oil, Sea Salt",H0000
5.06E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,67866,4757222,Corkers,Corkers Sea Salt & Cider Vinegar Hand Cooked Crisps 20g,2286,29,3.3,59,1.7,7.3,1.8,"Potatoes, Sunflower Oil, Cider Vinegar Powder (Maltodextrin, Cider Vinegar), Sea Salt, Acid: Citric Acid, Sugar, Sherry Vinegar Powder (Maltodextrin, Sherry Vinegar)",H0000
5.06E+12,"A0001,B0000,C0035,D0000,E0001,F0000",crisps,67867,5154281,Corkers,Corkers Cheddar Cheese & Chive Hand Cooked Crisps 20g,2303,29,3.8,58,3.7,8.2,1.3,"Potatoes, Sunflower Oil, Buttermilk Powder (Milk), Salt, Sugar, Cream Powder (Milk), Cheese Powder (Milk), Whey Powder (Milk), Onion Powder, Sherry Vinegar Powder (Maltodextrin, Sherry Vinegar), Natural Flavourings (including Natural Black Pepper Flavouring), Herbs (Chive, Parsley), Garlic Powder, Colour: Paprika",H0010
